ID,NOMBRE,HORARIO,COORDENADAS,,DIRECCION
1,El Vendedor,abierto 24 horas,"28.628141323699555, -106.10006280134209",,"Parque El Vendedor, Blvd. Antonio Ortíz Mena s/n, Quintas del Sol, Campestre-Lomas, 31214 Chihuahua, Chih."
2,Tronquitos,abierto 24 horas,"28.632925901928196, -106.09979974822643",,"Calle Alaska, Chihuahua, Chih."
3,Canchas de la campesina,abierto 24 horas,"28.611162201128465, -106.09880391907252",,"Azahares s/n, Campesina, 31410 Chihuahua, Chih."
4,Parque de la colonia Dale,abierto 24 horas,"28.615658627805768, -106.06245850530019",,"C. 30a 5200, Dale, RUTA SUR II, 31050 Chihuahua, Chih."
5,Parque las verdes,na,"28.60585196575964, -106.07787019581792",,"Calle Mariano Samaniego 6201, Cerro de la Cruz, 31034 Chihuahua, Chih."
6,Parque tres presas,11pm,"28.612097492621757, -106.12099782700953",,"D. Reliz, Av. Prol. Teófilo Borunda S/N, Chihuahua, Chih."
7,Parque el encino,abierto 24 horas,"28.604566444799687, -106.11702673890584",,31207 Chihuahua
8,Canchas parque triangular,abierto 24 horas,"28.59643816917435, -106.09563163650903",,"Rómulo Alvelais s/n, Los Pinos, 31416 Chihuahua, Chih."
9,Parque Bellavista,abierto 24 horas,"28.619355895385837, -106.0673723115103",,"C. 26a 4013, Bellavista, RUTA SUR II, 31050 Chihuahua, Chih."
10,Parque Valdez,abierto 24 horas,"28.62606788364293, -106.06339736355729",,"J. Valdez, Calle Sexta s/n, Santa Rosa, 31050 Chihuahua, Chih."
11,Club Britania,6am-9pm,"28.626600494985862, -106.11212407333535",,"California 5314, Las Haciendas, 31215 Chihuahua, Chih."
12,Parque Cantera,abierto 24 horas,"28.64503200936166, -106.1053577527214",,"Av. de la Cantera s/n, Progreso, Chihuahua, Chih."
13,Espacio deportivo Cerro de la Cruz,abierto 24 horas,"28.599326975059775, -106.0810148054967",,"31453, J. J. Calvo 7600, Valle de la Madrid, Chihuahua, Chih."
14,Parque Eloy Vallina,abierto 24 horas,"28.631418519765802, -106.07294326194577",,"31000, Av. Paseo Bolívar 66, Zona Centro, Chihuahua, Chih."
15,Parque El reliz,7am-8pm,"28.61016791653186, -106.11765501662848",,"Diamante Azul 2329, Diamante Reliz, 31207 Chihuahua, Chih."
16,Parque extremo,abierto 24 horas,"28.647261714769392, -106.10866289148758",,"C. República del Brasil s/n, Panamericana, 31210 Chihuahua, Chih."
17,Parque hundido,abierto 24 horas,"28.640617421942103, -106.08961802454415",,"Del Parque s/n, El Palomar, 31000 Chihuahua, Chih."
18,Parque presa el rejon,na,"28.61335545662477, -106.12170604009226",,"JV7H+88, 31207 Chihuahua, Chih."
19,Ciudad deportiva,abierto 24 horas,"28.657878069659635, -106.0838595689502",,"Av. Tecnologico, Av División del Nte y, Altavista, 31200 Chihuahua, Chih."
20,Parque Urueta,abierto 24 horas,"28.639901548026945, -106.06619652219283",,"C. 27 Manuel Gómez Morin 2204-2210, Obrera, 31350 Chihuahua, Chih."
21,Parque Revolución,abierto 24 horas,"28.633886293842945, -106.07045791714938",,"Calle Nicolás Bravo s/n, Bolívar, Centro, 31000 Chihuahua, Chih."
22,Parque extremo el Reliz,na,"28.61181796217009, -106.11643749652725",,"JV6M+JC, Diamante Azul 2329, Diamante Reliz, 31207 Chihuahua, Chih."
23,Deportivo División del norte,abierto 24 horas,"28.60977888742229, -106.02720321812399",,"Francisco Villa s/n División del Norte, Chih."
24,Parque Santo Niño,abierto 24 horas,"28.649994056489682, -106.07448420515493",,"José María Mari s/n, Santo Niño, 31200 Chihuahua, Chih."
25,Parque José Martí,abierto 24 horas,"28.66365938108754, -106.10173230532875",,"C. José Martí 4325, Las Granjas, 31100 Chihuahua, Chih."
26,Parque la burrita,abierto 24 horas,"28.63945769824477, -106.0564188475184",,"Parque V. Romero, Calle Ignacio Urquidi 3316, Barrio de Londres, 31060 Chihuahua, Chih."
27,Escalada deporte extremo,6pm-9pm,"28.646699256963227, -106.10813439962146",,"Calle progreso, Progreso, 31210 Chihuahua, Chih."
28,Deportivo Américas,na,"28.65260124520098, -106.11779358396869",,"Fidel Velázquez, 31210 Chihuahua"
29,Parque colinas del sol basketbol,4pm-6:30pm,"28.658242877466243, -106.12186920468784",,"Av de las Águilas s/n, Colinas del Sol I Etapa, 31110 Chihuahua, Chih."
30,Parque y canchas,abierto 24 horas,"28.623479373738753, -106.03744642531346",,"De Las Rosas s/n, Mármol, 31063 Chihuahua, Chih."
31,El triunfo,abierto 24 horas,"28.599183142872473, -106.09666598873152",,"Batalla de Calculalpan, Margarita s/n, Maza, 31137 Chihuahua, Chih."
32,Parque de deportes extremos,abierto 24 horas,"28.688535790083012, -106.10217617375604",,"Huerta Legarreta, 31134 Chihuahua"
33,Deportiva José Vasconcelos,"0-10am, 4-12pm","28.60859554060808, -106.04112889303238",,"Deportiva J. Vasconcelos, Lázaro Cárdenas, 31063 Chihuahua, Chih."
34,Espacio deportivo Diego Lucero,abierto 24 horas,"28.676518048705635, -106.12821763340025",,"C. Camilo Cienfuegos 634, Diego Lucero, 31123 Chihuahua, Chih."
35,YMCA Chihuahua,6am-10pm,"28.628296205281934, -106.0751118678322",,"1o. de Mayo 1403-Int - 1, Santa Rita, 31000 Chihuahua, Chih."
36,Unidad deportiva sur,6am-10:30pm,"28.624981241156572, -106.01872347083719",,"Blvd. Jose Fuentes Mares, Ávalos, 31074 Chihuahua, Chih."
37,Parque Los frailes,abierto 24 horas,"28.66116946712628, -106.11041197549572",,"República de Uruguay s/n, Los Frailes, 31107 Chihuahua, Chih."
