CUADRANTE,PREDICCION_ROBOS_MES_N,LATITUD,LONGITUD,DISTRITO
47,4.06,28.669625227109513,-105.98520269389587,Morelos
48,3.83,28.662484186298077,-105.950317015625,Morelos
3,3.46,28.77581784195804,-106.16689104335663,Colón
7,3.18,28.740339224665394,-106.13810106787763,Colón
8,3.0,28.74211442208904,-106.12564148630136,Colón
59,2.58,28.58781981683168,-106.03599641089109,Morelos
9,2.57,28.74053542972973,-106.11033049054053,Colón
54,2.57,28.654785013888887,-105.96497487896825,Morelos
18,2.55,28.702176211126964,-106.09123946790298,Villa
55,2.52,28.608225432546377,-106.02789314839798,Morelos
