CUADRANTE,PREDICCION_ROBOS_MES_N,LATITUD,LONGITUD,DISTRITO
37,4.05,28.637885403560833,-106.0783177759644,Ángel
25,3.81,28.651471216783214,-106.08689958041958,Villa
55,3.63,28.608225432546377,-106.02789314839798,Morelos
31,3.63,28.645881639583333,-106.10942998125,Diana
13,3.59,28.72575505078125,-106.12049648242187,Colón
8,3.37,28.74211442208904,-106.12564148630136,Colón
70,3.26,28.623247004761904,-106.06015016547619,Zapata
24,3.19,28.67809068438914,-106.0928656561086,Villa
77,2.74,28.617794970752087,-106.03588437047355,Zapata
7,2.6,28.740339224665394,-106.13810106787763,Colón
