CUADRANTE,PREDICCION_ROBOS_MES_N,LATITUD,LONGITUD,DISTRITO
25,1.52,28.651471216783214,-106.08689958041958,Villa
8,1.37,28.74211442208904,-106.12564148630136,Colón
55,1.28,28.608225432546377,-106.02789314839798,Morelos
7,1.12,28.740339224665394,-106.13810106787763,Colón
21,1.03,28.66695974105866,-106.11913413018598,Villa
31,0.94,28.645881639583333,-106.10942998125,Diana
70,0.92,28.623247004761904,-106.06015016547619,Zapata
13,0.92,28.72575505078125,-106.12049648242187,Colón
47,0.91,28.669625227109513,-105.98520269389587,Morelos
12,0.9,28.715160206117023,-106.14221282978724,Colón
