CUADRANTE,PREDICCION_ROBOS_MES_N,LATITUD,LONGITUD,DISTRITO
25,1.46,28.651471216783214,-106.08689958041958,Villa
8,1.23,28.74211442208904,-106.12564148630136,Colón
55,1.15,28.608225432546377,-106.02789314839798,Morelos
7,1.08,28.740339224665394,-106.13810106787763,Colón
31,0.93,28.645881639583333,-106.10942998125,Diana
47,0.92,28.669625227109513,-105.98520269389587,Morelos
21,0.91,28.66695974105866,-106.11913413018598,Villa
70,0.84,28.623247004761904,-106.06015016547619,Zapata
6,0.82,28.735733681179774,-106.15111643820224,Colón
12,0.78,28.715160206117023,-106.14221282978724,Colón
