CUADRANTE,PREDICCION_ROBOS_MES_N,LATITUD,LONGITUD,DISTRITO
25,1.42,28.651471216783214,-106.08689958041958,Villa
8,1.25,28.74211442208904,-106.12564148630136,Colón
55,1.18,28.608225432546377,-106.02789314839798,Morelos
7,1.05,28.740339224665394,-106.13810106787763,Colón
12,0.91,28.715160206117023,-106.14221282978724,Colón
21,0.91,28.66695974105866,-106.11913413018598,Villa
31,0.87,28.645881639583333,-106.10942998125,Diana
19,0.86,28.682082528716215,-106.11994280405405,Villa
13,0.83,28.72575505078125,-106.12049648242187,Colón
70,0.79,28.623247004761904,-106.06015016547619,Zapata
