FOLIO,FECHA,HORA,MINUTO,TIPO,VIOLENCIA,LATITUD,LONGITUD,DISTRITO,CUADRANTE,DIA,MES,ESTACION,AÑO
50848SP,2015-01-01,99,99,ROBO A CASA HABITACION,NO,28.622462,-106.099586,Diana,32,1,1,Invierno,2015
68587,2015-01-01,99,99,ROBO DE VEHICULO,SI,28.702297,-106.110216,Villa,17,1,1,Invierno,2015
68842X,2015-01-01,99,99,ROBO A CASA HABITACION,NO,28.685211,-106.02796,Morelos,45,1,1,Invierno,2015
61105X,2015-01-01,99,99,ROBO A CASA HABITACION,NO,28.617434,-106.094153,Zapata,68,1,1,Invierno,2015
77924,2015-01-01,99,99,ROBO A CASA HABITACION,NO,28.725298,-106.112998,Colón,13,1,1,Invierno,2015
63240,2015-01-01,99,99,ROBO A NEGOCIO,SI,28.733269,-106.114997,Colón,8,1,1,Invierno,2015
66460XX,2015-01-01,99,99,ROBO A CASA HABITACION,NO,28.596746,-106.030933,Morelos,59,1,1,Invierno,2015
63381X,2015-01-02,99,99,ROBO A NEGOCIO,NO,28.770601,-106.165873,Colón,3,2,1,Invierno,2015
27755SP,2015-01-02,99,99,ROBO A CASA HABITACION,NO,28.636794,-106.074998,Ángel,38,2,1,Invierno,2015
85415,2015-01-02,99,99,ROBO A NEGOCIO,SI,28.613825,-106.057652,Zapata,76,2,1,Invierno,2015
147835CX,2015-01-02,99,99,ROBO A NEGOCIO,SI,28.639192,-106.072997,Ángel,37,2,1,Invierno,2015
62632X,2015-01-02,99,99,ROBO A CASA HABITACION,NO,28.598902,-106.02043,Morelos,55,2,1,Invierno,2015
68843X,2015-01-02,99,99,ROBO A CASA HABITACION,NO,28.66032,-105.94481,Morelos,48,2,1,Invierno,2015
68586,2015-01-03,99,99,ROBO A NEGOCIO,NO,28.688356,-106.084153,Villa,24,3,1,Invierno,2015
29231SP,2015-01-03,99,99,ROBO DE VEHICULO,NO,28.721172,-106.144458,Colón,12,3,1,Invierno,2015
67371,2015-01-03,99,99,ROBO A NEGOCIO,SI,28.642263,-106.071626,Ángel,39,3,1,Invierno,2015
224284C,2015-01-03,99,99,ROBO A NEGOCIO,SI,28.609401,-106.033204,Morelos,55,3,1,Invierno,2015
78414X,2015-01-03,99,99,ROBO A CASA HABITACION,NO,28.724383,-106.154322,Colón,12,3,1,Invierno,2015
506751SO,2015-01-03,99,99,ROBO DE VEHICULO,NO,28.714813,-106.136475,Colón,12,3,1,Invierno,2015
003986SP,2015-01-03,99,99,ROBO DE VEHICULO,NO,28.736308,-106.137967,Colón,7,3,1,Invierno,2015
74170,2015-01-03,99,99,ROBO A NEGOCIO,SI,28.738391,-106.130688,Colón,8,3,1,Invierno,2015
54460,2015-01-03,99,99,ROBO A NEGOCIO,SI,28.755109,-106.12713,Colón,8,3,1,Invierno,2015
121610,2015-01-03,99,99,ROBO A CASA HABITACION,NO,28.663575,-106.102777,Villa,23,3,1,Invierno,2015
62149,2015-01-04,99,99,ROBO A CASA HABITACION,NO,28.6706,-106.123226,Villa,21,4,1,Invierno,2015
80454,2015-01-04,99,99,ROBO DE VEHICULO,NO,28.68431,-106.121018,Villa,19,4,1,Invierno,2015
78602X,2015-01-04,99,99,ROBO A CASA HABITACION,NO,28.780696,-106.170554,Colón,3,4,1,Invierno,2015
56862,2015-01-04,99,99,ROBO A CASA HABITACION,NO,28.61423,-106.094202,Zapata,68,4,1,Invierno,2015
37086SP,2015-01-04,99,99,ROBO A NEGOCIO,NO,28.611411,-106.092342,Zapata,68,4,1,Invierno,2015
55474,2015-01-04,99,99,ROBO A NEGOCIO,NO,28.61665,-106.08947,Zapata,68,4,1,Invierno,2015
67823SO,2015-01-04,99,99,ROBO A CASA HABITACION,NO,28.653008,-106.053717,Ángel,35,4,1,Invierno,2015
21727SP,2015-01-04,99,99,ROBO A CASA HABITACION,NO,28.744613,-106.143188,Colón,7,4,1,Invierno,2015
74667,2015-01-04,99,99,ROBO A NEGOCIO,NO,28.638319,-106.075034,Ángel,37,4,1,Invierno,2015
471755SO,2015-01-04,99,99,ROBO A CASA HABITACION,NO,28.671249,-105.9616,Morelos,48,4,1,Invierno,2015
63622X1,2015-01-04,99,99,ROBO A CASA HABITACION,NO,28.782206,-106.168215,Colón,3,4,1,Invierno,2015
78603X,2015-01-04,99,99,ROBO A CASA HABITACION,NO,28.773256,-106.167869,Colón,3,4,1,Invierno,2015
